age,gender,education_level,education_mismatch,sector_of_interest,current_employment_sector,formal_informal,region,location_type,monthly_income,region_employment_rate,regional_unemployment_rate,unemployment_duration,digital_skills_level,technical_skills,training_participation,program_type,household_income,household_size,employment_outcome,intervention_effectiveness,employment_duration_post_intervention,youth_unemployment_rate,urban_rural_employment_rate
20,Female,University,False,Retail,Retail,Formal,Eastern,Rural,139928.18,71.1,29.86,,Intermediate,['Coding'],True,Digital Skills,High,1,True,Ineffective,3.0,19.4,34.94
23,Male,Secondary,True,Education,,,Eastern,Rural,,50.64,21.0,18.0,Basic,['Data Analysis'],True,Business Development,Low,2,False,,,19.4,72.13
22,Male,University,False,ICT,,,Western,Rural,,63.78,16.15,,Advanced,"['Marketing', 'Project Management']",True,Vocational Training,High,8,False,,,19.4,70.68
16,Female,TVET,False,Agriculture,Agriculture,Informal,Western,Rural,217957.75,83.52,27.41,,Intermediate,['Coding'],False,,Low,2,True,Ineffective,7.0,19.4,32.51
17,Female,University,False,Agriculture,,,Kigali,Urban,,55.12,28.81,,Advanced,"['Marketing', 'Project Management']",True,Business Development,High,3,False,,,19.4,36.0
16,Female,University,False,Agriculture,,,Southern,Rural,,83.29,14.05,,Advanced,[],True,Business Development,Low,6,False,,,19.4,54.38
18,Female,Secondary,True,Construction,,,Western,Urban,,47.13,18.62,10.0,Intermediate,['Data Analysis'],False,,High,5,False,,,19.4,37.21
16,Male,University,False,Agriculture,Agriculture,Formal,Eastern,Rural,144381.25,49.02,29.63,,Basic,['Coding'],True,Business Development,Low,3,True,Moderately Effective,12.0,19.4,41.66
24,Male,Secondary,False,Agriculture,Agriculture,Informal,Western,Rural,235759.45,74.85,26.15,,Advanced,[],False,,High,8,True,Effective,7.0,19.4,51.44
24,Female,Primary or Less,False,ICT,,,Western,Rural,,84.86,23.24,,Basic,['Data Analysis'],False,,High,1,False,,,19.4,37.74
19,Male,Secondary,False,Healthcare,,,Kigali,Urban,,81.58,16.06,,Advanced,[],True,Vocational Training,Low,1,False,,,19.4,64.23
22,Male,University,False,Agriculture,Agriculture,Formal,Northern,Rural,130666.62,63.47,12.04,,Intermediate,"['Marketing', 'Project Management']",False,,High,7,True,Effective,5.0,19.4,55.29
20,Female,Primary or Less,False,Healthcare,,,Western,Urban,,89.93,22.94,,Advanced,['Data Analysis'],False,,High,6,False,,,19.4,72.27
16,Male,Secondary,False,Construction,,,Kigali,Urban,,49.02,29.28,,Intermediate,['Coding'],True,,Low,1,False,,,19.4,46.85
23,Male,Secondary,False,Construction,Construction,Formal,Western,Rural,84887.83,85.05,23.48,,Basic,['Coding'],True,,High,7,True,Ineffective,6.0,19.4,56.1
21,Male,Secondary,False,Education,,,Kigali,Urban,,66.29,12.67,,Intermediate,['Data Analysis'],False,,High,2,False,,,19.4,66.93
17,Female,TVET,True,ICT,,,Eastern,Urban,,59.46,29.51,4.0,Intermediate,[],True,Digital Skills,Low,1,False,,,19.4,65.65
25,Female,Secondary,False,ICT,,,Kigali,Urban,,63.95,22.33,,Basic,[],False,,Medium,4,False,,,19.4,53.57
21,Male,Secondary,False,Construction,,,Kigali,Urban,,66.31,23.74,,Advanced,"['Marketing', 'Project Management']",True,,Medium,5,False,,,19.4,71.83
20,Female,Primary or Less,False,Construction,Construction,Informal,Southern,Rural,177668.88,70.86,12.07,,Intermediate,[],True,,Medium,7,True,Ineffective,3.0,19.4,61.49
20,Male,Primary or Less,False,Healthcare,Healthcare,Formal,Eastern,Rural,262745.82,49.93,12.18,,Intermediate,['Coding'],True,Vocational Training,Medium,5,True,Ineffective,3.0,19.4,70.87
25,Female,TVET,True,Retail,,,Eastern,Rural,,43.77,18.62,12.0,Intermediate,['Coding'],True,Digital Skills,Low,2,False,,,19.4,56.51
21,Female,Primary or Less,True,ICT,,,Southern,Rural,,61.73,26.71,13.0,Intermediate,[],True,Business Development,High,3,False,,,19.4,50.17
16,Male,Secondary,False,Healthcare,Healthcare,Formal,Northern,Rural,93424.66,57.66,13.2,,Intermediate,['Coding'],True,Vocational Training,Low,3,True,Ineffective,2.0,19.4,50.7
20,Male,TVET,True,Agriculture,,,Southern,Rural,,73.84,21.8,9.0,Basic,['Data Analysis'],False,,High,3,False,,,19.4,62.46
22,Female,Secondary,False,Agriculture,Agriculture,Informal,Western,Rural,268924.14,81.75,29.47,,Intermediate,['Data Analysis'],True,Business Development,Medium,8,True,Effective,12.0,19.4,56.72
18,Female,Secondary,False,Agriculture,Agriculture,Formal,Western,Urban,95972.94,59.7,20.03,,Intermediate,['Data Analysis'],False,,High,8,True,Moderately Effective,3.0,19.4,59.0
18,Male,University,False,Construction,,,Western,Rural,,55.0,12.98,4.0,Basic,['Coding'],False,,High,7,False,,,19.4,47.59
16,Male,University,False,Education,,,Kigali,Urban,,83.49,23.67,,Basic,"['Marketing', 'Project Management']",True,Digital Skills,High,3,False,,,19.4,75.15
22,Female,TVET,False,Healthcare,Healthcare,Formal,Northern,Rural,66346.61,78.75,17.22,,Basic,"['Marketing', 'Project Management']",False,,High,3,True,Effective,12.0,19.4,68.16
21,Female,University,False,ICT,ICT,Informal,Northern,Rural,186289.4,46.89,21.55,,Intermediate,[],True,Digital Skills,Low,5,True,Ineffective,8.0,19.4,70.62
25,Female,University,False,Construction,Construction,Informal,Kigali,Urban,217023.77,47.25,22.07,,Basic,[],True,,Medium,3,True,Ineffective,12.0,19.4,64.91
23,Male,Primary or Less,True,ICT,,,Southern,Rural,,75.61,24.03,18.0,Intermediate,"['Marketing', 'Project Management']",False,,High,4,False,,,19.4,78.86
20,Male,Secondary,False,Education,Education,Formal,Northern,Rural,198105.94,60.09,15.32,,Basic,[],False,,High,6,True,Moderately Effective,6.0,19.4,33.56
25,Male,TVET,False,Healthcare,Healthcare,Formal,Southern,Rural,203938.32,70.01,13.6,,Basic,['Data Analysis'],True,Business Development,Low,1,True,Effective,7.0,19.4,53.44
25,Female,Primary or Less,True,Construction,,,Southern,Rural,,59.05,16.0,7.0,Advanced,['Data Analysis'],False,,Medium,6,False,,,19.4,77.39
23,Male,University,False,Education,Education,Informal,Western,Rural,157896.23,64.93,11.43,,Intermediate,"['Marketing', 'Project Management']",True,Digital Skills,Medium,3,True,Effective,9.0,19.4,74.27
24,Male,Secondary,False,ICT,ICT,Formal,Southern,Urban,110654.53,87.21,21.03,,Advanced,[],False,,Low,6,True,Moderately Effective,3.0,19.4,32.13
16,Male,University,False,Healthcare,,,Western,Rural,,45.25,24.35,9.0,Intermediate,"['Marketing', 'Project Management']",False,,High,5,False,,,19.4,57.79
20,Female,TVET,False,ICT,ICT,Informal,Kigali,Urban,218202.95,70.09,22.96,,Basic,['Coding'],True,Digital Skills,High,2,True,Effective,1.0,19.4,64.68
21,Male,TVET,False,Healthcare,,,Kigali,Urban,,69.47,28.05,,Basic,[],True,Digital Skills,High,5,False,,,19.4,51.78
24,Female,University,False,ICT,ICT,Formal,Western,Urban,129510.63,63.69,21.09,,Intermediate,['Coding'],False,,Low,3,True,Ineffective,1.0,19.4,77.96
20,Male,Primary or Less,True,Agriculture,,,Kigali,Rural,,67.35,29.98,19.0,Intermediate,['Data Analysis'],True,Digital Skills,Low,8,False,,,19.4,52.46
19,Female,TVET,True,ICT,,,Eastern,Rural,,40.19,25.46,2.0,Intermediate,['Data Analysis'],False,,Medium,4,False,,,19.4,54.72
18,Male,Secondary,True,Retail,,,Kigali,Rural,,55.74,27.27,3.0,Basic,['Data Analysis'],False,,High,5,False,,,19.4,54.02
23,Female,TVET,True,Agriculture,,,Western,Rural,,87.78,29.09,21.0,Basic,[],True,Business Development,Medium,6,False,,,19.4,63.64
19,Female,Secondary,True,Healthcare,,,Eastern,Rural,,79.13,21.18,11.0,Intermediate,[],False,,Medium,6,False,,,19.4,57.98
25,Female,University,False,ICT,,,Eastern,Rural,,79.84,10.34,,Basic,"['Marketing', 'Project Management']",False,,Low,4,False,,,19.4,57.2
17,Female,Secondary,False,ICT,ICT,Informal,Kigali,Urban,162479.23,74.54,19.2,,Basic,['Coding'],False,,Medium,1,True,Ineffective,12.0,19.4,62.11
18,Male,Primary or Less,False,ICT,ICT,Informal,Eastern,Rural,149951.67,87.95,27.57,,Basic,[],True,,High,2,True,Moderately Effective,4.0,19.4,40.99
17,Female,Secondary,False,Agriculture,Agriculture,Informal,Kigali,Urban,119946.7,56.58,16.25,,Intermediate,['Coding'],True,Vocational Training,High,5,True,Moderately Effective,12.0,19.4,69.05
24,Female,TVET,False,Agriculture,,,Eastern,Urban,,53.56,15.43,,Intermediate,['Coding'],True,Vocational Training,Low,1,False,,,19.4,47.76
25,Male,University,False,Retail,Retail,Informal,Northern,Urban,214708.53,66.98,21.12,,Basic,['Data Analysis'],True,Business Development,Low,2,True,Ineffective,3.0,19.4,74.95
24,Female,Secondary,False,Agriculture,Agriculture,Formal,Eastern,Urban,299918.88,83.44,25.67,,Intermediate,['Data Analysis'],False,,High,2,True,Effective,1.0,19.4,56.05
17,Male,TVET,True,Healthcare,,,Kigali,Urban,,77.25,19.14,8.0,Basic,[],True,Digital Skills,Low,2,False,,,19.4,75.72
20,Male,Primary or Less,False,Healthcare,,,Western,Rural,,44.1,27.96,,Basic,['Data Analysis'],True,Vocational Training,High,3,False,,,19.4,32.49
16,Male,Primary or Less,False,ICT,ICT,Informal,Eastern,Rural,50534.24,52.95,19.46,,Basic,"['Marketing', 'Project Management']",False,,High,6,True,Effective,5.0,19.4,71.84
17,Female,University,False,Healthcare,,,Western,Rural,,87.99,19.98,11.0,Intermediate,[],True,Vocational Training,Medium,3,False,,,19.4,54.27
23,Female,Primary or Less,True,Education,,,Northern,Rural,,76.36,22.39,1.0,Advanced,['Data Analysis'],False,,Medium,4,False,,,19.4,43.33
19,Male,TVET,False,Agriculture,Agriculture,Formal,Eastern,Rural,89155.54,57.27,18.16,,Intermediate,"['Marketing', 'Project Management']",True,,Medium,6,True,Moderately Effective,9.0,19.4,60.05
17,Male,Primary or Less,False,Retail,Retail,Formal,Northern,Rural,185033.53,73.05,21.91,,Intermediate,"['Marketing', 'Project Management']",True,Vocational Training,High,5,True,Ineffective,3.0,19.4,78.3
25,Female,University,False,ICT,,,Eastern,Rural,,55.98,26.43,,Basic,['Data Analysis'],True,Business Development,Low,8,False,,,19.4,44.15
21,Male,Primary or Less,False,Education,Education,Formal,Northern,Rural,142059.64,83.73,24.57,,Advanced,[],True,Business Development,High,6,True,Effective,11.0,19.4,70.25
24,Female,Primary or Less,True,ICT,,,Eastern,Urban,,88.93,12.5,7.0,Intermediate,['Data Analysis'],True,Digital Skills,Medium,2,False,,,19.4,57.95
19,Female,University,False,Healthcare,,,Northern,Rural,,68.46,11.01,,Advanced,['Data Analysis'],False,,Medium,5,False,,,19.4,54.5
24,Male,Primary or Less,True,Healthcare,,,Kigali,Urban,,84.89,28.96,3.0,Basic,['Data Analysis'],False,,High,7,False,,,19.4,70.06
19,Male,TVET,False,Retail,Retail,Formal,Southern,Rural,144032.15,83.12,29.07,,Basic,['Data Analysis'],True,Digital Skills,High,2,True,Ineffective,4.0,19.4,75.01
20,Female,Secondary,False,ICT,ICT,Informal,Eastern,Rural,252158.45,65.09,18.6,,Intermediate,"['Marketing', 'Project Management']",True,Vocational Training,Medium,6,True,Ineffective,6.0,19.4,67.85
24,Male,TVET,False,Education,,,Southern,Rural,,63.78,24.01,,Intermediate,['Data Analysis'],True,Vocational Training,Low,3,False,,,19.4,65.02
22,Female,University,False,Healthcare,Healthcare,Informal,Eastern,Urban,108289.93,65.72,28.64,,Advanced,"['Marketing', 'Project Management']",False,,Low,1,True,Moderately Effective,11.0,19.4,50.23
20,Female,Primary or Less,False,Construction,,,Northern,Rural,,71.06,21.24,,Basic,['Data Analysis'],False,,Medium,8,False,,,19.4,61.23
19,Female,University,False,Education,,,Southern,Rural,,54.59,10.71,23.0,Intermediate,['Coding'],True,Business Development,Medium,4,False,,,19.4,74.31
25,Female,Secondary,False,Agriculture,Agriculture,Formal,Kigali,Urban,261115.02,49.75,18.37,,Intermediate,"['Marketing', 'Project Management']",True,Business Development,Medium,5,True,Effective,12.0,19.4,39.47
22,Male,Primary or Less,False,Healthcare,Healthcare,Informal,Eastern,Rural,109845.88,50.28,22.37,,Intermediate,"['Marketing', 'Project Management']",False,,High,7,True,Effective,9.0,19.4,63.39
25,Female,TVET,False,ICT,ICT,Informal,Northern,Rural,99176.48,67.09,22.56,,Advanced,['Data Analysis'],False,,High,6,True,Moderately Effective,2.0,19.4,67.73
16,Female,University,False,Construction,,,Southern,Urban,,87.58,12.17,11.0,Basic,['Coding'],False,,Low,1,False,,,19.4,53.41
18,Female,Primary or Less,True,Education,,,Eastern,Urban,,74.85,12.34,15.0,Intermediate,['Data Analysis'],False,,High,4,False,,,19.4,53.99
23,Female,Primary or Less,False,Education,,,Northern,Urban,,51.46,18.04,,Advanced,"['Marketing', 'Project Management']",True,Vocational Training,High,7,False,,,19.4,44.03
17,Female,University,False,Education,,,Kigali,Urban,,88.06,23.11,,Advanced,['Coding'],False,,Low,5,False,,,19.4,76.87
23,Male,TVET,False,Construction,Construction,Formal,Southern,Rural,206375.16,76.64,25.76,,Intermediate,"['Marketing', 'Project Management']",True,Digital Skills,High,6,True,Effective,9.0,19.4,62.96
24,Male,University,False,Agriculture,Agriculture,Informal,Eastern,Urban,176325.05,76.45,17.29,,Advanced,['Data Analysis'],False,,Low,8,True,Ineffective,10.0,19.4,52.9
20,Female,TVET,False,Agriculture,,,Kigali,Urban,,49.35,23.41,,Basic,['Data Analysis'],True,Vocational Training,Low,8,False,,,19.4,77.83
19,Female,Primary or Less,True,Healthcare,,,Western,Urban,,56.99,26.89,5.0,Advanced,[],True,,Medium,7,False,,,19.4,62.58
23,Male,University,False,Construction,Construction,Informal,Southern,Rural,85898.03,82.05,15.7,,Basic,['Data Analysis'],False,,Low,2,True,Effective,6.0,19.4,58.26
20,Male,University,False,ICT,,,Southern,Rural,,87.71,10.31,17.0,Basic,[],True,,Low,3,False,,,19.4,65.91
23,Male,University,False,Retail,,,Northern,Rural,,42.3,17.64,,Basic,[],True,Business Development,Low,4,False,,,19.4,69.53
20,Male,TVET,True,Retail,,,Western,Rural,,57.28,18.9,5.0,Basic,"['Marketing', 'Project Management']",True,Vocational Training,High,6,False,,,19.4,59.15
17,Female,University,False,Agriculture,Agriculture,Formal,Eastern,Rural,225597.82,45.1,27.39,,Advanced,"['Marketing', 'Project Management']",False,,High,2,True,Moderately Effective,7.0,19.4,57.74
19,Female,Secondary,False,Retail,,,Western,Rural,,77.21,29.81,,Basic,['Data Analysis'],False,,Low,8,False,,,19.4,58.92
21,Male,Secondary,False,Education,Education,Formal,Southern,Rural,240196.22,86.49,23.12,,Intermediate,['Coding'],True,Vocational Training,Low,5,True,Ineffective,4.0,19.4,67.87
24,Male,University,False,ICT,ICT,Formal,Eastern,Rural,270926.42,62.34,21.07,,Basic,[],False,,Medium,6,True,Effective,4.0,19.4,62.89
20,Male,Secondary,False,Education,Education,Informal,Eastern,Rural,173285.91,53.65,20.18,,Intermediate,['Coding'],False,,Medium,6,True,Effective,1.0,19.4,69.73
22,Male,University,False,Retail,Retail,Formal,Western,Rural,169754.23,43.72,26.71,,Advanced,['Coding'],True,Digital Skills,High,8,True,Effective,7.0,19.4,41.14
25,Male,University,False,Construction,,,Eastern,Rural,,68.77,13.43,,Intermediate,"['Marketing', 'Project Management']",True,Vocational Training,Low,8,False,,,19.4,76.66
19,Male,TVET,False,Education,,,Eastern,Urban,,42.27,21.85,,Advanced,['Coding'],False,,Medium,3,False,,,19.4,75.55
19,Male,TVET,True,Construction,,,Western,Rural,,68.32,29.83,6.0,Basic,['Data Analysis'],False,,Medium,3,False,,,19.4,49.71
20,Female,TVET,False,Education,,,Southern,Rural,,74.95,14.32,,Advanced,[],False,,High,3,False,,,19.4,61.1
18,Female,TVET,False,Construction,Construction,Formal,Western,Rural,189907.79,70.1,27.97,,Basic,['Coding'],False,,Medium,3,True,Effective,9.0,19.4,54.97
24,Female,Primary or Less,False,Education,Education,Informal,Eastern,Rural,71690.45,52.04,10.23,,Advanced,"['Marketing', 'Project Management']",True,Business Development,High,8,True,Effective,9.0,19.4,55.66
22,Male,Primary or Less,False,Construction,Construction,Informal,Northern,Rural,178277.73,79.69,11.57,,Advanced,"['Marketing', 'Project Management']",True,,Low,1,True,Moderately Effective,7.0,19.4,75.18
25,Male,Secondary,False,ICT,,,Eastern,Rural,,74.71,17.39,,Basic,['Coding'],False,,Medium,8,False,,,19.4,70.3
21,Female,Primary or Less,False,Education,Education,Informal,Eastern,Rural,73354.29,80.83,25.51,,Basic,"['Marketing', 'Project Management']",True,Vocational Training,Low,3,True,Ineffective,6.0,19.4,78.16
25,Female,TVET,False,Agriculture,Agriculture,Formal,Southern,Rural,231763.51,62.33,22.86,,Basic,"['Marketing', 'Project Management']",False,,Medium,4,True,Effective,8.0,19.4,66.77
23,Female,Primary or Less,True,Education,,,Eastern,Rural,,86.78,17.08,19.0,Basic,['Data Analysis'],True,Vocational Training,Medium,6,False,,,19.4,53.25
16,Male,Primary or Less,False,Education,Education,Informal,Western,Rural,221871.07,64.65,10.62,,Intermediate,['Coding'],True,,High,2,True,Effective,3.0,19.4,52.08
21,Male,University,False,Retail,Retail,Formal,Eastern,Rural,62098.42,43.43,21.14,,Intermediate,"['Marketing', 'Project Management']",True,Vocational Training,High,4,True,Moderately Effective,10.0,19.4,52.45
19,Female,University,False,ICT,ICT,Formal,Western,Rural,205516.47,58.29,22.57,,Advanced,['Coding'],False,,High,8,True,Moderately Effective,4.0,19.4,54.38
17,Male,Primary or Less,False,ICT,,,Kigali,Urban,,60.78,27.72,,Advanced,[],False,,Low,1,False,,,19.4,56.66
20,Male,TVET,False,ICT,ICT,Informal,Eastern,Rural,154612.04,58.49,28.39,,Basic,['Coding'],False,,Medium,1,True,Effective,4.0,19.4,78.23
23,Male,Primary or Less,True,ICT,,,Southern,Rural,,82.52,21.74,3.0,Intermediate,"['Marketing', 'Project Management']",False,,High,1,False,,,19.4,51.86
17,Female,Secondary,False,Healthcare,Healthcare,Informal,Eastern,Rural,252491.69,87.89,11.7,,Advanced,['Coding'],False,,High,7,True,Ineffective,8.0,19.4,39.63
20,Female,Secondary,False,Healthcare,Healthcare,Formal,Northern,Rural,87368.41,68.93,29.48,,Advanced,['Data Analysis'],False,,Medium,8,True,Ineffective,6.0,19.4,65.6
18,Female,TVET,False,ICT,ICT,Formal,Northern,Rural,169908.89,67.41,14.45,,Advanced,['Coding'],False,,Low,4,True,Effective,4.0,19.4,55.74
18,Female,Secondary,False,Education,Education,Formal,Southern,Rural,243755.18,80.45,21.39,,Basic,['Coding'],False,,Low,4,True,Ineffective,4.0,19.4,72.73
16,Female,TVET,False,Construction,Construction,Informal,Northern,Urban,156389.77,67.34,28.08,,Basic,['Coding'],False,,Low,2,True,Moderately Effective,6.0,19.4,39.54
20,Male,Primary or Less,False,Agriculture,Agriculture,Informal,Eastern,Urban,184286.89,57.87,26.72,,Intermediate,['Coding'],False,,High,2,True,Moderately Effective,2.0,19.4,71.82
20,Female,University,False,Retail,Retail,Informal,Kigali,Urban,134431.15,85.81,29.04,,Advanced,[],True,Vocational Training,High,5,True,Ineffective,2.0,19.4,73.02
20,Male,University,False,Agriculture,Agriculture,Formal,Northern,Rural,108807.79,65.83,23.03,,Intermediate,['Data Analysis'],False,,Medium,4,True,Effective,5.0,19.4,62.01
25,Female,TVET,False,Construction,Construction,Formal,Western,Urban,150378.72,43.27,17.0,,Basic,[],True,Business Development,Low,5,True,Effective,11.0,19.4,40.94
23,Female,University,False,ICT,ICT,Formal,Eastern,Urban,76956.87,81.65,22.82,,Basic,['Coding'],False,,High,5,True,Moderately Effective,10.0,19.4,69.52
20,Female,TVET,False,Healthcare,Healthcare,Informal,Western,Rural,80647.32,48.66,23.21,,Intermediate,['Coding'],True,,Low,2,True,Moderately Effective,11.0,19.4,56.26
23,Female,University,False,Retail,,,Western,Urban,,87.48,29.78,,Basic,['Coding'],False,,Medium,8,False,,,19.4,68.33
23,Female,Primary or Less,True,ICT,,,Kigali,Urban,,61.53,13.9,6.0,Advanced,"['Marketing', 'Project Management']",True,,Low,3,False,,,19.4,74.41
20,Female,TVET,False,Retail,,,Eastern,Rural,,70.7,28.49,,Basic,[],False,,Medium,3,False,,,19.4,60.95
19,Female,University,False,Agriculture,Agriculture,Formal,Kigali,Urban,51584.79,86.86,27.05,,Intermediate,['Data Analysis'],True,Business Development,High,6,True,Ineffective,2.0,19.4,62.25
23,Male,TVET,False,Retail,Retail,Informal,Eastern,Rural,168234.77,62.54,21.63,,Basic,['Coding'],False,,Low,1,True,Ineffective,8.0,19.4,77.05
19,Male,University,False,ICT,ICT,Informal,Kigali,Urban,229439.59,65.4,10.62,,Intermediate,"['Marketing', 'Project Management']",True,,High,1,True,Moderately Effective,1.0,19.4,64.64
24,Female,Secondary,True,Education,,,Kigali,Rural,,85.11,28.91,10.0,Advanced,[],False,,Medium,1,False,,,19.4,77.29
19,Female,Secondary,False,Agriculture,Agriculture,Formal,Kigali,Urban,64826.29,40.72,21.78,,Basic,"['Marketing', 'Project Management']",True,,Low,8,True,Effective,7.0,19.4,52.71
19,Male,TVET,False,Retail,Retail,Informal,Kigali,Urban,205112.43,63.35,24.2,,Advanced,['Data Analysis'],True,Digital Skills,High,4,True,Moderately Effective,9.0,19.4,77.45
24,Male,University,False,Construction,Construction,Formal,Kigali,Urban,200438.43,66.92,20.98,,Advanced,[],True,,Low,3,True,Effective,12.0,19.4,57.69
17,Female,TVET,False,ICT,ICT,Formal,Western,Rural,171837.56,73.93,19.23,,Basic,['Coding'],False,,High,7,True,Effective,8.0,19.4,64.41
25,Male,Secondary,True,Education,,,Western,Rural,,68.8,12.53,10.0,Basic,[],True,,Low,8,False,,,19.4,66.1
22,Female,University,False,Construction,Construction,Formal,Northern,Rural,197221.83,50.44,10.17,,Basic,[],True,,Medium,4,True,Effective,12.0,19.4,51.51
22,Male,Primary or Less,True,Retail,,,Southern,Rural,,65.69,17.02,8.0,Intermediate,"['Marketing', 'Project Management']",False,,High,8,False,,,19.4,54.1
16,Male,TVET,False,Education,Education,Informal,Northern,Rural,155044.55,63.89,18.44,,Intermediate,[],True,Digital Skills,High,1,True,Moderately Effective,10.0,19.4,62.45
19,Female,University,False,Education,,,Kigali,Rural,,42.09,12.63,2.0,Basic,['Coding'],False,,Medium,5,False,,,19.4,53.93
22,Male,TVET,True,Agriculture,,,Eastern,Rural,,83.25,29.12,12.0,Advanced,['Data Analysis'],True,Digital Skills,Medium,7,False,,,19.4,70.52
25,Female,Secondary,False,Construction,,,Eastern,Rural,,45.01,29.87,,Intermediate,['Data Analysis'],False,,Medium,3,False,,,19.4,62.07
25,Female,Primary or Less,True,Agriculture,,,Southern,Rural,,80.11,26.24,5.0,Advanced,[],False,,Low,3,False,,,19.4,54.45
24,Female,University,False,Construction,,,Kigali,Urban,,45.86,15.84,,Intermediate,['Data Analysis'],False,,Medium,8,False,,,19.4,60.52
25,Male,Secondary,False,Construction,,,Northern,Urban,,63.92,25.89,,Advanced,['Data Analysis'],False,,High,7,False,,,19.4,57.06
21,Male,Secondary,False,Construction,,,Western,Urban,,79.44,15.89,,Advanced,[],True,Business Development,Low,4,False,,,19.4,75.98
24,Female,Secondary,False,Agriculture,Agriculture,Formal,Western,Urban,270961.18,53.38,25.64,,Intermediate,[],False,,Medium,2,True,Effective,6.0,19.4,78.93
23,Female,University,False,Construction,Construction,Informal,Kigali,Urban,183899.9,63.17,20.1,,Advanced,[],True,Vocational Training,Low,3,True,Moderately Effective,1.0,19.4,50.18
17,Male,Secondary,True,Agriculture,,,Eastern,Rural,,47.03,27.65,20.0,Basic,['Coding'],True,,High,2,False,,,19.4,50.97
20,Male,University,False,Healthcare,Healthcare,Informal,Western,Urban,280680.46,54.72,14.17,,Basic,['Coding'],True,Vocational Training,Medium,2,True,Effective,4.0,19.4,75.15
16,Female,Secondary,False,Construction,,,Southern,Rural,,45.29,21.66,,Intermediate,"['Marketing', 'Project Management']",False,,Medium,8,False,,,19.4,64.3
24,Male,Primary or Less,False,Retail,Retail,Informal,Northern,Rural,118655.02,89.15,24.42,,Basic,['Coding'],False,,Low,3,True,Effective,3.0,19.4,75.08
20,Female,TVET,True,Agriculture,,,Western,Rural,,72.03,28.46,6.0,Intermediate,['Data Analysis'],False,,Medium,1,False,,,19.4,57.65
19,Female,University,False,Agriculture,Agriculture,Formal,Western,Rural,126155.47,46.76,22.46,,Advanced,"['Marketing', 'Project Management']",True,,Medium,8,True,Effective,10.0,19.4,61.68
25,Female,Primary or Less,True,Retail,,,Western,Rural,,61.26,29.47,3.0,Intermediate,['Data Analysis'],False,,Medium,4,False,,,19.4,76.43
18,Male,TVET,False,Agriculture,Agriculture,Formal,Eastern,Urban,273058.91,40.26,14.85,,Basic,"['Marketing', 'Project Management']",False,,Low,7,True,Moderately Effective,8.0,19.4,36.26
17,Male,Secondary,False,Healthcare,,,Eastern,Rural,,89.32,23.25,,Advanced,['Data Analysis'],True,Business Development,Medium,6,False,,,19.4,65.83
23,Male,Primary or Less,False,Construction,Construction,Formal,Kigali,Rural,74371.39,85.01,21.24,,Basic,['Data Analysis'],False,,Medium,6,True,Moderately Effective,3.0,19.4,60.03
24,Female,TVET,False,Agriculture,Agriculture,Formal,Western,Urban,143756.93,88.72,18.83,,Basic,['Coding'],False,,Medium,8,True,Moderately Effective,5.0,19.4,66.16
